"","PercProtected","ResourceMobility","ProtectedCC","WorkingCC","MeanPayoff","meanTimeWorking"
"1",0.05,0.05,0.997,0.773736842105263,17,0.967155403506248
"2",0.1,0.05,0.99795,0.767022222222222,17,0.967569820693482
"3",0.15,0.05,0.852533333333333,0.608452941176471,14.061,0.898686108408646
"4",0.2,0.05,0.114525,0.01066875,1.368,0.573025699888845
"5",0.25,0.05,0.12546,0.0115733333333333,1.502,0.566393581668617
"6",0.3,0.05,0.07835,0.0127714285714286,1.529,0.558928960315198
"7",0.35,0.05,0.103628571428571,0.0131615384615385,2.0705,0.560075684070578
"8",0.4,0.05,0.0299,0.0132333333333333,0.779,0.538560571790372
"9",0.45,0.05,0.0295888888888889,0.0149636363636364,1.079,0.556274062958895
"10",0.5,0.05,0.69954,0.07335,16.952,0.56332626265931
"11",0.55,0.05,0.725490909090909,0.0739555555555556,16.7635,0.602042882854517
"12",0.6,0.05,0.742775,0.0842,16.97,0.612664565731604
"13",0.65,0.05,0.764,0.0861428571428572,16.986,0.638710273514765
"14",0.7,0.05,0.779457142857143,0.104016666666667,16.9825,0.653717670664425
"15",0.75,0.05,0.794166666666667,0.11856,16.981,0.670172667275011
"16",0.8,0.05,0.80614375,0.1409,16.9905,0.68899468501422
"17",0.85,0.05,0.815917647058824,0.1885,16.9895,0.694301004217055
"18",0.9,0.05,0.826361111111111,0.2817,16.988,0.712148451421021
"19",0.95,0.05,0.809684210526316,0.300800000000001,16.989,0.697340103078862
"20",0.05,0.1,0.5255,0.00826842105263158,1.618,0.684385411562319
"21",0.1,0.1,0.27015,0.00858888888888889,1.5725,0.641423910714354
"22",0.15,0.1,0.1572,0.00950588235294118,1.499,0.619295385508599
"23",0.2,0.1,0.108725,0.009825,1.3375,0.605994055491222
"24",0.25,0.1,0.09738,0.0126933333333333,1.4775,0.601975469641997
"25",0.3,0.1,0.0515,0.0123785714285714,1.2685,0.577730916416147
"26",0.35,0.1,0.1059,0.0140384615384615,2.1255,0.57628948537898
"27",0.4,0.1,0.0339625,0.0134083333333333,1.135,0.582139479264664
"28",0.45,0.1,0.455811111111111,0.0761090909090909,11.374,0.55073003152526
"29",0.5,0.1,0.71119,0.10134,16.934,0.606122807387301
"30",0.55,0.1,0.732227272727273,0.103888888888889,16.9715,0.633738456621321
"31",0.6,0.1,0.752141666666667,0.108925,16.972,0.664379191747715
"32",0.65,0.1,0.772615384615385,0.123185714285714,16.976,0.676287305695739
"33",0.7,0.1,0.786242857142857,0.14035,16.98,0.698609060701927
"34",0.75,0.1,0.798233333333333,0.14962,16.9765,0.731761159884478
"35",0.8,0.1,0.8115375,0.1938,16.9915,0.731872476250076
"36",0.85,0.1,0.820770588235294,0.2699,16.993,0.742459856132204
"37",0.9,0.1,0.787888888888889,0.357799999999999,16.986,0.717858135670228
"38",0.95,0.1,0.761405263157895,0.295900000000001,16.9845,0.695900796295548
"39",0.05,0.15,0.4845,0.0087,1.407,0.700312330697578
"40",0.1,0.15,0.2633,0.00903888888888889,1.8105,0.653741647528159
"41",0.15,0.15,0.142666666666667,0.0109705882352941,1.5595,0.636990027293977
"42",0.2,0.15,0.13565,0.0104375,1.787,0.632482418443901
"43",0.25,0.15,0.17628,0.01388,2.439,0.639544149256182
"44",0.3,0.15,0.0648166666666667,0.0126428571428571,1.419,0.624485090774184
"45",0.35,0.15,0.0736571428571429,0.0135076923076923,1.6855,0.614462471313429
"46",0.4,0.15,0.05365,0.01465,1.679,0.619870886660791
"47",0.45,0.15,0.689022222222222,0.110581818181818,16.903,0.605829387292352
"48",0.5,0.15,0.71043,0.10654,16.9405,0.647497753783106
"49",0.55,0.15,0.737990909090909,0.117088888888889,16.963,0.670226687611074
"50",0.6,0.15,0.75645,0.121075,16.978,0.706477167525028
"51",0.65,0.15,0.775861538461538,0.134971428571429,16.9885,0.723078917719993
"52",0.7,0.15,0.7899,0.147933333333333,16.9885,0.747504014408738
"53",0.75,0.15,0.804446666666667,0.17212,16.993,0.765449445627092
"54",0.8,0.15,0.81249375,0.1985,16.9915,0.791405401764326
"55",0.85,0.15,0.787347058823529,0.2902,16.99,0.76034929338463
"56",0.9,0.15,0.739866666666667,0.362049999999999,16.988,0.709336438306026
"57",0.95,0.15,0.712273684210526,0.319900000000001,16.9935,0.683384069366591
"58",0.05,0.2,0.5284,0.00871052631578947,1.812,0.7389507079994
"59",0.1,0.2,0.1977,0.00881666666666667,1.538,0.674783332996987
"60",0.15,0.2,0.2011,0.0101941176470588,2.132,0.701162866984415
"61",0.2,0.2,0.095725,0.01111875,1.2935,0.679384552544907
"62",0.25,0.2,0.06828,0.0109533333333333,1.242,0.649074636181732
"63",0.3,0.2,0.0649166666666667,0.0115928571428571,1.4415,0.671730112618931
"64",0.35,0.2,0.0543857142857143,0.0139307692307692,1.468,0.623139152716391
"65",0.4,0.2,0.0397125,0.014125,1.2325,0.635464587317858
