"","PercProtected","ResourceMobility","ProtectedCC","WorkingCC","MeanPayoff","meanTimeWorking"
"1",0.05,0.05,1,0.774331578947368,17,0.967022764999239
"2",0.1,0.05,1,0.766411111111111,17,0.965606467297337
"3",0.15,0.05,0.9732,0.4953,11.485,0.965490013042148
"4",0.2,0.05,0.924575,0.006075,1.7975,0.968302332035959
"5",0.25,0.05,0.91864,0.00825333333333333,2.2425,0.965789509084419
"6",0.3,0.05,0.925,0.00805714285714286,2.676,0.970755834216404
"7",0.35,0.05,0.9199,0.00916923076923077,3.115,0.966171343702807
"8",0.4,0.05,0.917975,0.01105,3.476,0.964497443486049
"9",0.45,0.05,0.917911111111111,0.0119636363636364,3.8925,0.964477337701101
"10",0.5,0.05,0.91818,0.01144,4.6435,0.965568671152786
"11",0.55,0.05,0.916836363636364,0.0114222222222222,4.994,0.964368525732061
"12",0.6,0.05,0.918083333333333,0.0152625,5.1165,0.966041183013652
"13",0.65,0.05,0.921946153846154,0.0168285714285714,5.3185,0.968706689973834
"14",0.7,0.05,0.919592857142857,0.0209333333333333,5.895,0.966705249150371
"15",0.75,0.05,0.919266666666667,0.02524,6.2755,0.96716774331582
"16",0.8,0.05,0.91741875,0.039125,6.7735,0.964409247176743
"17",0.85,0.05,0.919123529411765,0.0442666666666667,7.152,0.965804493253438
"18",0.9,0.05,0.9199,0.0662000000000001,7.5185,0.967380989440399
"19",0.95,0.05,0.917494736842105,0.0838000000000005,7.606,0.965795339826395
"20",0.05,0.1,0.8925,0.00617368421052632,0.801,0.969940077115383
"21",0.1,0.1,0.88155,0.00743333333333333,1.4365,0.967688942329211
"22",0.15,0.1,0.875833333333333,0.00661764705882353,2.102,0.966324314146964
"23",0.2,0.1,0.874075,0.0078875,2.688,0.96596543931711
"24",0.25,0.1,0.87452,0.00905333333333333,3.497,0.965612509440355
"25",0.3,0.1,0.875233333333333,0.00706428571428571,4.045,0.968547383231504
"26",0.35,0.1,0.871985714285714,0.00973846153846154,4.8055,0.965959858114961
"27",0.4,0.1,0.87185,0.0112583333333333,5.434,0.968072437273056
"28",0.45,0.1,0.873244444444444,0.0119909090909091,5.995,0.967737994076156
"29",0.5,0.1,0.87429,0.01524,6.4675,0.968481598343352
"30",0.55,0.1,0.876027272727273,0.0163111111111111,6.9955,0.969763118571321
"31",0.6,0.1,0.869083333333333,0.019325,8.262,0.962439464340765
"32",0.65,0.1,0.869815384615385,0.0217714285714286,8.8965,0.96437315806315
"33",0.7,0.1,0.874692857142857,0.0257333333333333,9.1755,0.968774645469496
"34",0.75,0.1,0.8709,0.02846,10.1465,0.966847182492817
"35",0.8,0.1,0.86995625,0.04025,10.7275,0.964602069714122
"36",0.85,0.1,0.866117647058824,0.0578,11.771,0.962528990296282
"37",0.9,0.1,0.875005555555556,0.127149999999999,11.174,0.969534952242605
"38",0.95,0.1,0.868810526315789,0.0341000000000009,7.8635,0.964342750895043
"39",0.05,0.15,0.86,0.00775789473684211,0.993,0.970010272730207
"40",0.1,0.15,0.8377,0.00702222222222222,1.7625,0.969239131977254
"41",0.15,0.15,0.8342,0.0078,2.5915,0.969508600004068
"42",0.2,0.15,0.826575,0.0071625,3.8065,0.964993456588604
"43",0.25,0.15,0.828,0.00824,4.604,0.966879392383905
"44",0.3,0.15,0.828266666666667,0.0100785714285714,5.4505,0.96635289496869
"45",0.35,0.15,0.825214285714286,0.0122923076923077,6.3765,0.96683729358902
"46",0.4,0.15,0.8253125,0.0122833333333333,7.242,0.96633682245853
"47",0.45,0.15,0.828833333333333,0.0119,8.046,0.968650457640446
"48",0.5,0.15,0.82308,0.01516,9.2815,0.966890036622157
"49",0.55,0.15,0.826136363636364,0.0154888888888889,10.1335,0.967028098392886
"50",0.6,0.15,0.82445,0.0194,10.8,0.967381393574143
"51",0.65,0.15,0.825192307692308,0.0217142857142857,11.9275,0.966654384758468
"52",0.7,0.15,0.821885714285714,0.0307166666666667,12.7605,0.963225898517429
"53",0.75,0.15,0.82512,0.03872,13.5545,0.965939348972321
"54",0.8,0.15,0.82344375,0.049025,14.487,0.964223666830472
"55",0.85,0.15,0.826429411764706,0.0623333333333334,15.3035,0.9667705786806
"56",0.9,0.15,0.822616666666667,0.131399999999999,11.4405,0.963845907134122
"57",0.95,0.15,0.821010526315789,0.0345000000000009,7.6055,0.965342540111395
"58",0.05,0.2,0.8011,0.00512105263157895,1.1975,0.96808252495473
"59",0.1,0.2,0.7939,0.00575,2.491,0.965762640371799
"60",0.15,0.2,0.784433333333333,0.00697647058823529,3.598,0.967104881174772
"61",0.2,0.2,0.78525,0.00783125,4.655,0.968533192098149
"62",0.25,0.2,0.78374,0.00844,5.7605,0.966383817345771
"63",0.3,0.2,0.781333333333333,0.0100928571428571,6.824,0.963444690781853
"64",0.35,0.2,0.780557142857143,0.0110153846153846,7.9785,0.965901587959289
"65",0.4,0.2,0.7804375,0.01045,9.211,0.966250280786713
"66",0.45,0.2,0.777122222222222,0.0146272727272727,10.593,0.966310885883454
"67",0.5,0.2,0.77983,0.01472,11.5765,0.967864584347035
"68",0.55,0.2,0.779627272727273,0.0197555555555556,12.715,0.967346908763488
"69",0.6,0.2,0.77735,0.0245,13.723,0.967408697590703
"70",0.65,0.2,0.778223076923077,0.0247571428571429,15.085,0.965103257222147
"71",0.7,0.2,0.783292857142857,0.0317666666666667,15.734,0.96652815175598
"72",0.75,0.2,0.788326666666667,0.03772,16.3625,0.967397759746887
"73",0.8,0.2,0.79760625,0.051825,16.822,0.969631181900237
"74",0.85,0.2,0.782323529411765,0.0972333333333328,15.557,0.967019169589003
"75",0.9,0.2,0.775544444444444,0.131099999999999,11.2255,0.964712993493578
"76",0.95,0.2,0.770984210526316,0.0384000000000009,7.505,0.964416619168746
"77",0.05,0.25,0.7585,0.00638947368421053,1.3275,0.967878294488468
"78",0.1,0.25,0.741,0.0052,2.951,0.969770962396991
"79",0.15,0.25,0.745166666666667,0.00675294117647059,4.486,0.964305391324633
